opts,alloy/DiffEg40,alloy/LatinSquare5,alloy/LatinSquare7,tptp/ALG195,tptp/ALG195_1,tptp/ALG197,tptp/ALG212,tptp/COM008,tptp/NUM378,tptp/TOP020
plain,14292,160,558,4034,4830,3416,37746,228,175,3634
skolem,11520,163,540,4045,5433,3928,42025,228,330,4167
symmetry,52725,201,814,4080,5381,3738,36260,190,179,4339
sat,14253,201,769,6112,15530,6199,65679,224,167,5436
skolem+symmetry,50253,201,817,4091,5431,3841,35338,192,381,4377
skolem+sat,11487,206,783,6156,15977,5804,64669,228,325,5568
symmetry+sat,86397,256,1122,6308,16293,6368,61106,222,179,8756
skolem+symmetry+sat,82515,257,1124,6346,16222,6229,61256,225,380,9023
